englishname,chinesename,incontinent,incountry,type,url,alljoburl,joburl,work,Location,PostLevel,ContractualArrangement,ClosingDate,Contractduration,PrimaryLocation,JobPosting,Organization,Schedule,Education,Experience,Skills,WHOCompetencies,LanguageSkills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702332,Driver,Kenya-Nairobi,G3,Fixed-Term Appointment,"Sep 7, 2017, 5:59:00 AM",Two (2) years,Kenya-Nairobi,"Aug 16, 2017, 7:21:35 PM",AF_KEN Kenya,Full-time,At least Junior Secondary School education and a valid driver’s license of the country.,At least ten years driving experience as a driver and a safe driving record.,"Driving rules and regulations of the country;Familiarity with office procedures and transport needs of the office;Knowledge of driver courtesies;Ability to read, write and understand instructions in the official working languages and Ability to write concise and faithful reports of accidents, when applicable.Basic word processing or other software packages, and standard office equipment.Formal or self-training in the use of standard office software.",Communicating in a credible and effective way;Producing results;Knowing and managing yourself;Teamwork,Good knowledge of English.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702361,NPO,"Congo, The Democratic Republic of the-Kinshasa",NO-B,Fixed-Term Appointment,"Aug 31, 2017, 5:59:00 AM",2 ans,"Congo, The Democratic Republic of the-Kinshasa","Aug 16, 2017, 2:26:56 PM",AF_COD Democratic Republic of Congo,Full-time,University degree in Health Information Management or Statistics or Biostatistics or Applied Mathematics or Computer Science;Postgraduate qualification in epidemiology or public health Training in data management,"At least 5 years of relevant work experience in developing and managing health information system- Experience in gathering, recording, validating and reporting of health related data from multiples sources;- Good understanding of complex database structure and management;Working experience with WHO or other UN Agency would be an asset.","Ability to establish harmonious working relationships and to function within multi-disciplinary and multi-cultural teams;Ability to consolidate information from multiple sources and prepare strategic information and reports for decision makers;Advanced skills in complex database development and maintenance;Ability to achieve consensus and coordination through teambuilding;Ability to communicate clearly and concisely, orally and in writing.",Producing results;Teamwork;Communication;Knowing and managing yourself;Moving forward in a changing environment,"Essential: Expert knowledge of English. Beginners knowledge of French;Desirable: Beginners knowledge of Portuguese.
The above language requirements are interchangeable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702292,NPO (Neglected Tropical Diseases),Nepal-Kathmandu,NO-B,Temporary Appointment under Staff Rule 420.4,"Sep 6, 2017, 5:59:00 AM",Two years,Nepal-Kathmandu,"Aug 16, 2017, 11:35:08 AM","SE_NEP WR Office, Nepal",Full-time,"Essential:University Degree in Medicine.
Desirable: Post graduate training in Public Health.","At least 2 years of experience of programme planning, implementation, monitoring and evaluation in the domain of public health;Experience of working with Kala-azar or other vector borne disease control/elimination programme or NTDs will be an asset;Prior experience of working in the disease control, elimination and surveillance is essential","Technical expertise and overall attitude at work;Good computer skills including office software applications;Excellent written and oral communications skills;Effective internal and external networking;Proven ability to work under pressure and multitask;Excellent interpersonal skills, tact, discretion and diplomacy;Demonstrated networking and relationship management;Should be conversant with the health system, HMIS and other issues that are related to the public health in Nepal;Technical expertise; Overall attitude at work are also required mandatory competencies;Good computer skills including office software applications and basic statistical/ database",Teamwork;Respecting and promoting individual and cultural differences;Communication;Ensuring the effective use of resources;Knowing and managing yourself;Creating an empowering and motivating environment,Essential:Expert knowledge of English. Expert knowledge of Nepali;Desirable:The above language requirements are interchangeable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702621,National Professional Officer (Health Systems),"Iran, Islamic Republic of-Teheran",NO-C,Fixed-Term Appointment,"Sep 7, 2017, 5:59:00 AM",12 months,"Iran, Islamic Republic of-Teheran","Aug 16, 2017, 8:25:12 AM","EM_IRA WHO Representative's Office, Iran",Full-time,"Essential:University degree in Medicine or Health related field including public health, healthcare management, biostatistics or epidemiology;Desirable: Post graduate degree in Public Health",At least 5 years' experience in the fields of health systems development and monitoring and evaluation of health programmes,"Skills in project planning, design, monitoring and evaluation- Knowledge in management of health systems development projects and universal health coverage concept",Teamwork;Respecting and promoting individual and cultural differences;Communication;Producing results;Promoting innovation and organizational learning,Expert knowledge of English. Expert knowledge of Local Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702509,Word Processing Operator,Switzerland-Geneva,G4,Temporary Appointment under Staff Rule 420.4,"Sep 6, 2017, 5:59:00 AM",8 months,Switzerland-Geneva,"Aug 15, 2017, 11:55:36 AM",HQ/LNG Language Services,Full-time,Essential: Completion of secondary school or its equivalent; completion of commercial/secretarial course;Desirable: Training in typing (with diplomas) and training on word processing equipment,Essential: At least three years' experience in word processing/typing with experience in proofreading.Three years of experience in WHO to have the required knowledge of its procedures as related to the work;Desirable: Experience using medical and technical terminology.Experience in layout or desktop publishing,Ability to type at the required speed and proofread texts;The incumbent has to keep abreast of the full range of applicability of the word processing software system in the use of new software introduced; this requires self-study and participation in in-house training courses,Teamwork;Respecting and promoting individual and cultural differences;Communication;Producing results;Knowing and managing yourself,Essential: Expert knowledge of English.Intermediate knowledge of French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702571,Epidemiologist,Switzerland-Geneva,P4,Temporary Appointment under Staff Rule 420.4,"Sep 6, 2017, 5:59:00 AM",6 MONTHS,Switzerland-Geneva,"Aug 15, 2017, 11:41:04 AM",HQ/HIM Health Emergency Information & Risk Assessment,Full-time,"Essential: Advanced university degree in epidemiology, quantitative methods and/or medicine, complemented by courses in epidemiology (in case the advanced level was not in Epidemiology already), public health, international health or a related discipline;Desirable: Specialization in one of the above fields","Essential: At least seven years' experience with successful track record in epidemiology, information management, quantitative methods, surveillance and/or control of outbreaks, with proven field experience in epidemics or public health emergencies;Desirable: In service training in field epidemiology such as Field Epidemiology (and Laboratory) Training Programme (FELTP), the European Program for Intervention Epidemiology Training (EPIET), the CDC Epidemic Intelligence Service Programme or equivalent experience. Experience in designing and implementing large databases, and managing complex flows of information at field and global level, with focus on the design, implementation and interpretation of quantitative research activities. Experience in WHO or UN, UN Agencies","Demonstrated expertise in field epidemiology, quantitative methods, data management and surveillance in the area of emerging/re-emerging diseases and humanitarian response in an international setting;Proven ability to link routine health information and quantitative data to public health response in outbreaks, emergencies, planning, service delivery and/or policy-decision making;Skills in designing and managing databases in software commonly used in field epidemiology (for example EpiInfo, EpiData, ODK, Mircosoft Access, SPSS, STATA, SAS, R);Excellent organizational and analytical skills combined with ability to multi-task and produce accurate results under pressure;Excellent interpersonal with ability to communicate in a credible and effective way, and synthesize information in a clear and concise manner;Tact, diplomacy and courtesy",Teamwork;Respecting and promoting individual and cultural differences;Communication;Building and promoting partnerships across the organization and beyond;Knowing and managing yourself,Essential: Expert knowledge of English;Desirable: Intermediate knowledge of French. Intermediate knowledge of Other WHO Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702575,Epidemiologist,Switzerland-Geneva,P3,Temporary Appointment under Staff Rule 420.4,"Sep 6, 2017, 5:59:00 AM",6 MONTHS,Switzerland-Geneva,"Aug 15, 2017, 11:29:39 AM",HQ/HIM Health Emergency Information & Risk Assessment,Full-time,"Essential: A first university degree in epidemiology, quantitative methods and/or medicine, complemented by degree in epidemiology, public health, international health or a related discipline;Desirable: Specialization in one of the above fields","Essential: At least five years' experience with successful track record in epidemiology, information management, quantitative methods, surveillance and/or control of outbreaks, with field experience in epidemics or public health emergencies;Desirable: Experience in designing and implementing large databases, and managing complex flows of information at field and global level, with focus on the design, implementation and interpretation of quantitative research activities. Experience in WHO or UN, UN Agencies an asset","Demonstrated expertise in field epidemiology, quantitative methods, surveillance in the area of emerging/re-emerging diseases in a multi-disciplinary and cross-cutting environment, as well as of database management, including data entry;Proven ability to link routine health information and epidemiology to project planning, service delivery and/or policy-decision making;Excellent organizational and analytical skills combined with ability to multi-task and produce accurate results under pressure;Excellent interpersonal skills, complemented with ability to synthesize information in a clear and concise manner;Tact, diplomacy and courtesy",Teamwork;Respecting and promoting individual and cultural differences;Communication;Knowing and managing yourself;Building and promoting partnerships across the organization and beyond,Essential: Expert knowledge of English;Desirable: Intermediate knowledge of French. Intermediate knowledge of Other WHO Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702529,Network Leader,Switzerland-Geneva,P5,Temporary Appointment under Staff Rule 420.4,"Sep 6, 2017, 5:59:00 AM",6 months,Switzerland-Geneva,"Aug 15, 2017, 10:08:02 AM",HQ/IHM Infectious Hazard Management,Full-time,"Essential: Advanced university degree in epidemiology or a related science, with specialization in infectious hazards diseases;Desirable: Certification in project leadership and management","Essential: At least 10 years' experience in managing projects in the related areas of work in Epi modelling and forecasting dealing with detection of infectious diseases and emergency work plan activities. At least 3 years working on either infectious disease outbreak detection?or areas as related to the function, and at least five of the 10 years with WHO or at an international level;Desirable: Proven primary responsibility for managing cross-cutting initiatives involving different departments or organizational entities in a multinational context such as the UN, WHO or similar",Expert level knowledge of Epi modelling & forecasting matters for emergency interventions and advanced data analysis for infectious hazards emergencies;Demonstrated understanding and experience with big data and data analysis. Solid managerial skills including proven ability to move from design of a strategic conceptual framework for developing forecasting tool and its operational implementation;Proven understanding of the needs and management of acute and urgent public health responses;Demonstrated effectiveness in building sustained partnerships and working with others in international settings,Ensuring the effective use of resources;Building and promoting partnerships across the organization and beyond;Moving forward in a changing environment;Producing results;Setting an example,Essential: Expert knowledge of English;Desirable: Intermediate knowledge of French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702595,"Epidemiologist, Meningitis (Medical Officer)",Senegal-Dakar,P4,Fixed-Term Appointment,"Sep 4, 2017, 5:59:00 AM",12 months (Renewal),Senegal-Dakar,"Aug 14, 2017, 12:31:11 PM",AF/WHE WHO Health Emergencies Programme (WHE),Full-time,Essential: University degree in medicine with postgraduate degree in epidemiology or in communicable diseases;Desirable: Advanced university degree in infectious or tropical diseases,"Essential: At least 7 years in meningitis and yellow fever and response action, at national and international levels, complemented by experience in developing countries. Demonstrated experience in research and publication in the areas of infectious diseases;Desirable: Experience in WHO to have an understanding of its mandate, goals and practices as related to the work or experience in UN or an international institution in similar functions","Demonstrated knowledge of surveillance and response activities of handling outbreaks in multidisciplinary and international environment, complemented with a sound knowledge of infectious diseases epidemiology and surveillance with emphasis on Meningitis in particular. Skills in conducting control measures and assessing risk. Excellent organizational and analytical skills, complemented by interpersonal and presentation skills.?Tact, discretion and diplomacy",Producing results;Moving forward in a changing environment;Building and promoting partnerships across the organization and beyond;Setting an example;Knowing and managing yourself,"Essential:English expert level required, French working level required OR French expert level required, English working level required",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702596,"Senior Epidemiologist, Meningitis (Medical  Officer)",Senegal-Dakar,P5,Fixed-Term Appointment,"Sep 4, 2017, 5:59:00 AM",12 months (Renewal),Senegal-Dakar,"Aug 14, 2017, 12:29:54 PM",AF/WHE WHO Health Emergencies Programme (WHE),Full-time,Essential: Advanced university degree in medicine with postgraduate degree in epidemiology or in communicable diseases;Desirable: Advanced university degree in infectious or tropical diseases,"Essential: Minimum of 10 years of professional experience in meningitis control and prevention both at national and international levels. At least 3 years working on either infectious disease outbreak detection and areas as related to the function, and at least five of the 10 years with WHO or at an international level;Desirable: Proven primary responsibility for managing cross-cutting initiatives involving different departments or organizational entities in a multinational context such as the UN, WHO or similar","Expertise and sound knowledge of surveillance and response activities of handling outbreaks in multidisciplinary and international environment, complemented with a sound knowledge of infectious diseases epidemiology and surveillance with emphasis on Meningitis in particular. Experience in networking with other experts and scientist to develop new tools and guidance for improved processes on meningitis prevention and control. Proven experience in programme management including planning, implementing, monitoring and evaluation. Demonstrated effectiveness in building sustained partnerships and working with others in international settings",Ensuring the effective use of resources;Building and promoting partnerships across the organization and beyond;Moving forward in a changing environment;Producing results;Setting an example,"Essential: English expert level required, French working level required OR French expert level required, English working level required",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
