englishname,chinesename,incontinent,incountry,type,url,alljoburl,joburl,work,Location,PostLevel,ContractualArrangement,ClosingDate,Contractduration,PrimaryLocation,JobPosting,Organization,Schedule,Required
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1703185,Technical Officer,Switzerland-Geneva,P3,Fixed-Term Appointment,"Oct 28, 2017, 5:59:00 AM",2 years,Switzerland-Geneva,"Sep 29, 2017, 4:06:59 PM","HQ/SPI Strategy, Policy and Information",Full-time,"</h2>
<h3>Education</h3><strong>Essential</strong>: A first level university degree in the field of library or information science or in a substantively related field, ideally supplemented by an advanced degree in library science.<br><strong>Desirable</strong>: Continuing education in functional and domain knowledge pertaining to related technologies and services, ensuring fresh knowledge of industry trends.<br>
<h3>Experience</h3><strong>Essential</strong>: - Professional experience in library work for a minimum of 5 years at the national level with some international experience. A minimum of 3 years of intensive experience with automated library systems. Experience in cataloguing or building metadata for scientific publications. Experience applying the principles that guide the organization of bibliographic information to the organization of electronic resources. Demonstrated experience managing library based systems and services. Demonstrated experience working collaboratively and independently with various groups within a complex organization and rapidly changing team environment. Demonstrated record of designing projects and bringing them to conclusion in a timely fashion. Experience drafting and writing training materials and promotional content in English. Experience working collegially and cooperatively within and across organizations.<br><strong>Desirable</strong>: Previous professional experience in WHO or other UN agency, preferably at a different duty station.?Experience training operators in new software applications. 
<h3>Skills</h3>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">- Knowledge of automated information systems as applied in libraries and/or information networks.?</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">- Familiarity with version control software.</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">-?Familiarity with conceptual and practical knowledge of the technologies used to manage and access e-resources including best practices for managing the records that track electronic purchases, subscriptions, and licenses.</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">-?Deep understanding of the technologies and processes of online information provision and access as well as excellent knowledge of database and internet related tools.</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">-?Demonstrated analytical and organizational skills and ability to make sound judgements and take decisions.</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">-?Demonstrated capacity for both working independently and as part of a team; relates and works well with people of different cultures, gender and backgrounds; good interpersonal skills.</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">-?Good capacity to work under pressure with ability to face unexpected and urgent issues.</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">- Excellent knowledge of?a database software supporting information references.</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">- Excellent knowledge of SQL.</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">- Excellent knowledge of XML.</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">- Excellent knowledge of the internet and internet related tools.</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">- Knowledge of WHO corporate information systems, web content management tool and communications networks an asset.<br></p>
<h3>WHO Competencies</h3>Teamwork<br>Respecting and promoting individual and cultural differences<br>Communication<br>Producing results<br>Moving forward in a changing environment<br>
<h3>Use of Language Skills</h3><strong>Essential</strong>: Expert knowledge of English.<br><strong>Desirable</strong>: Expert knowledge of French. Expert knowledge of Spanish.<br><br>
<h2>"
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1702818,Technical Officer,Switzerland-Geneva,P4,Temporary Appointment under Staff Rule 420.4,"Oct 21, 2017, 5:59:00 AM",One year.,Switzerland-Geneva,"Sep 29, 2017, 12:34:02 PM",HQ/EMP-  Essential Medicines and Health Products,Full-time,"</h2>
<h3>Education</h3><strong>Essential</strong>: An advanced university degree in Medicine or Pharmaceutical (pharmacology) sciences.<br><strong>Desirable</strong>: A doctoral degree in?a related field.<br>
<h3>Experience</h3><strong>Essential</strong>: At least 7 years of national and international experience in pharmacovigilance; direct experience in a regulatory environment.<br><strong>Desirable</strong>: Experience in establishing PV systems for both vaccines and medicines. Experience in PV data standards and data management systems, benefit-harm assessments and good vigilance practices for medical products.<br>
<h3>Skills</h3>Sound knowledge of pharmacovigilance of medical products (including medicines, vaccines and diagnostics), pharmacovigilance methods and risk assessment and data management systems. Ability to write and review scientific papers, sound interpersonal skills and demonstrable ability to interact with PV and regulatory experts, knowledge of, and past experience with platforms such as the International Conference of Drug Regulatory Authorities (ICDRA), the International Conference on Harmonisation (ICH), the Pharmacovigilance Risk Assessment Committee (PRAC). Excellent computer literacy in standard software packages.<br>
<h3>WHO Competencies</h3>Teamwork<br>Respecting and promoting individual and cultural differences<br>Communication<br>Moving forward in a changing environment<br>Knowing and managing yourself<br>
<h3>Use of Language Skills</h3><strong>Essential</strong>: Expert knowledge of English.<br><strong>Desirable</strong>: Intermediate knowledge of French.<br><br>
<h2>"
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1703275,Programme Assistant/Assistant to Director - for Roster purposes,Denmark-Copenhagen,G5,Multiple contractual arrangements,"Oct 23, 2017, 5:59:00 AM",Roster for fixed term / temporary appointments,Denmark-Copenhagen,"Sep 29, 2017, 11:09:40 AM",EU/DAF Division of Administration and Finance,Full-time,"</h2>
<h3>Education</h3><b>Essential:</b>Completion of secondary school or equivalent.<br><b>Desirable:</b> Relevant higher education from an accredited institution 
<h3>Experience</h3><b>Essential:</b> At least 5 years of progressively responsible experience in the secretarial/administrative field , including one year’s experience in<br>in an international environment such as: WHO/UN, governmental/public, intergovernmental organizations and/or nongovernmental<br>organizations.<br>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">?</p>
<h3>Use of language skills</h3><b>Essential:</b> English - excellent (mother tongue/advanced level) knowledge.<br><b>Desirable:</b> Russian, German or French - working (intermediate level) knowledge. 
<h3>Skills</h3><b>Specific skills required:</b></div>
<div><b><br></b>
<div>Essential:<br>Proficiency in the use standard office computer software, note taking and operation of computerised systems and databases.<br>Competencies required:<br>1) Communicating in a credible and effective way - The incumbent must be able to express him/ herself clearly and in a structured<br>and credible manner, ensuring appropriate information sharing within the programme/organization.<br>2) Knowing and managing yourself - Manages ambiguity and pressure in a self-reflective way. Uses criticism as a development<br>opportunity. Seeks opportunities for continuous learning and professional growth.<br>3) Producing results - The incumbent must be able to work independently to deliver quality results.<br>4) Fostering integration and teamwork - The incumbent must see him or herself as a team member and work accordingly toward<br>common goals.<br>5) Respecting &amp; promoting individual &amp; cultural differences - The incumbent must be willing and able to work in a multi-cultural<br>environment, open to ideas and values which may differ from those of incumbent.<br>Personal qualities:<br>The incumbent must possess a cooperative spirit, flexibility and openness to new ways of working, be willing and able to work in a<br>team of staff with mixed skills, sharing information, assignments and tasks to ensure achievement of shared goals. The incumbent<br>must be suitable for work in an international environment; be able to establish and maintain good working relationships with staff<br>members and national/international contacts. Since the incumbent is often the first point of contact with enquirers both from within<br>and outside the Organization, tact, discretion and courtesy are essential personal attributes.<br>
<h2>"
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1703251,National Coordinator,Namibia-Windhoek,NO-C,Temporary Appointment under Staff Rule 420.4,"Oct 21, 2017, 5:59:00 AM",1 Year,Namibia-Windhoek,"Sep 29, 2017, 9:38:01 AM",AF_NAM Namibia,Full-time,"</h2>
<h3>Education</h3><strong>Essential</strong>: First University degree in a relevant field; e.g. Medical Entomology, Environmental Health Sciences or Epidemiology<br><strong>Desirable</strong>: Post graduate degree in Public health would be an asset<br>
<h3>Experience</h3><strong>Essential</strong>: At least 5 years of relevant professional experience, such as in a National Health System/Service, or National Vector Borne Diseases Control Programs or in an national and/or regional setting<br><strong>Desirable</strong>: Practical experience in vector borne disease control<br>
<h3>Skills</h3>In-depthunderstanding of vector control, environmental health, and public healthpolicyand strategies in the country and to some extent in the African RegionSound technicalexpertise and experience in the implementation, monitoring, andevaluation ofvector control programs Good knowledge ofthe global/regional strategies for vector borne diseases controlExperience in vectorcontrol research and trainingExperience insupporting capacity development activitiesSubstantial projectmanagement and coordination experience and excellent management capacityAbility to work in anetwork and in a multisectoral environmentEffective oral andwritten communication skillsExcellentinterpersonal communication skills Experience or soundknowledge of WHO mandate and goalsExperience of workingfor UN organizations/agencies, international institutionsor NGOExcellentcomputer skills<br>
<h3>WHO Competencies</h3><font size=""+0"" face='""arial"",""sans-serif""'><font size=""10"">
<div><font size=""2"" face=""Arial"">1. Teamwork</font></div>
<div><font size=""2"" face=""Arial"">2. Communicating in a credible and effective way </font></div>
<div><font size=""2"" face=""Arial"">3. Ensuring the effective use of resources<br>4. Moving forward in a changing environment</font></div>
<div><font size=""2"" face=""Arial"">5. Producing results</font></div>
<div><font face=""Arial""><font size=""2"">6. </font><font size=""2"">Respecting and promoting individual and cultural? </font></font></div>
<div><font size=""2""><font face=""Arial"">??? differences</font></font></div>
</font></font><p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px""><font size=""+0"" face='""arial"",""sans-serif""'><font size=""10""></font></font>?</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">Use of Language Skills</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">?</p><strong>Essential</strong>: Expert knowledge of English.<br><strong>Desirable</strong>: <br><br>
<h2>"
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1703204,External Relations Officer,Congo-Brazzaville,P5,Fixed-Term Appointment,"Oct 20, 2017, 5:59:00 AM","12 Months renewable, depending on good performance, availability of funds and continued need of the function.",Congo-Brazzaville,"Sep 28, 2017, 3:36:37 PM",AF/WHE WHO Health Emergencies Programme (WHE),,"</h2>
<h3>Education</h3><strong>Essential</strong>: Advanced university (Masters level or above) degree in communications, international relations or a related field.<br><strong>Desirable</strong>: Additional degree or training in public health, risk communications, advocacy or resource mobilization.<br>
<h3>Experience</h3><strong>Essential</strong>: At least 10 years of proven experience in the leadership and management of external relations and/or diplomacy functions, including at least 5 years of management experience in recognized leadership positions with direct responsibility for managing both human and financial resources.Demonstrated experience in coordinating large scale projects with high political impact.<br><strong>Desirable</strong>: Relevant work experience in WHO or UN agencies; experience working in relevant non-governmental or humanitarian organizations.Field experience in public health programmes or emergency response programmes<br>
<h3>Skills</h3>Demonstrated exceptional leadership and team management skills in international and multi-cultural settings, including the proven capacity to lead and deliver on deadlines during periods of intense stress and activity; demonstrated ability to provide independent leadership in such periods with capacity to organize, monitor and synthesize information quickly and concisely.Proven ability to successfully coordinate, manage and lead projects, and build partnerships, across agencies and organizational departments in the context of public health and/or emergency programmes.Proven ability to successfully interact and negotiate with senior national and international authorities on the implementation of health emergencies strategies and programmes.Excellent interpersonal and communications skills with solid writing and editing experience.Critical strategic thinking, with the ability to quickly comprehend strategic and tactical objectives and to formulate comprehensive plans to address challenges/risks.<br>
<h3>WHO Competencies</h3>Building and promoting partnerships across the organization and beyond<br>Promoting innovation and organizational learning<br>Producing results<br>Ensuring the effective use of resources<br>Moving forward in a changing environment<br>
<h3>Use of Language Skills</h3>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px""><strong>Essential</strong>: Expert knowledge of English.<br><strong>Desirable</strong>: Intermediate knowledge of French or Portuguese. </p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">?</p>
<p style=""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px""><strong>"
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1703264,Cluster Coordinator,Nigeria-Sokoto,NO-B,Individual Service Contractor,"Oct 13, 2017, 5:59:00 AM",12 Months,Nigeria-Sokoto,"Sep 28, 2017, 12:55:56 PM",AF_NGA Nigeria,Full-time,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1703262,"Programme Manager, Health Systems Governance",Denmark-Copenhagen,P5,Fixed-Term Appointment,"Oct 23, 2017, 5:59:00 AM",1 year,Denmark-Copenhagen,"Sep 27, 2017, 5:16:38 PM",EU/DSP Health Systems and Public Health,,"</h2>
<h3>Education</h3><strong>Essential</strong>: Advanced University (Master`s) degree in health policy, health systems, health economics, health administration or public health management.<br><strong>Desirable</strong>: Doctorate in health economics, health policy or health system management.<br>
<h3>Experience</h3><strong>Essential</strong>: 10 years hands on working experience in health systems strengthening and policy analysis at national and international levels, attaining senior managerial rank, including three to five years of practical experience in implementing or advising on key domains of health system strengthening, including on National Health Plans and health system stewardship at national and international level, in a close collaboration with the Ministry of Health. Experience of advising on health system governance in lower and middle income countries.<br><strong>Desirable</strong>: Experience working with or in multi and bilateral development agencies active in the health sector.<br>
<h3>Skills</h3>Proven skills in strengthening the governance function of health ministries and in the development and assessment of national health policies and strategies. In depth knowledge of political, social and health systems of countries in the European Region. Ability and willingness to work in a team with other health professionals and motivate people of different nationalities and cultures. Knowledge of the WHO and UN system would be an asset.<br>
<h3>WHO Competencies</h3>Teamwork<br>Respecting and promoting individual and cultural differences<br>Communication<br>Promoting the Organization's position in health leadership<br>Building and promoting partnerships across the organization and beyond<br>
<h3>Use of Language Skills</h3><strong>Essential</strong>: Expert knowledge of English.<br><br>
<h2>"
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1703252,Country Program Specialist,Dominica-Roseau,P2,Fixed-Term Appointment,"Oct 19, 2017, 5:59:00 AM","Two years, first year probationary period.",Dominica-Roseau,"Sep 27, 2017, 4:00:53 PM","PAHO/WHO Representation, Barbados & Eastern Caribbean Countries",Full-time,"</font></b></div>
<div><strong><font color=""#244061"" size=""2"" face=""Verdana""></font></strong>?</div>
<div><b><u><font color=""#244061"" size=""2"" face=""Verdana"">Education</font></u></b><b><font color=""#244061"" size=""2"" face=""Verdana"">:</font></b></div>
<div><b><font size=""2"" face=""Verdana"">Essential:</font></b><font size=""2"" face=""Verdana""> A university degree in a health or social science from a recognized institution.</font></div>
<div><b><font size=""2"" face=""Verdana""></font></b>?</div>
<div><b><font size=""2"" face=""Verdana"">Desirable:</font></b><font size=""2"" face=""Verdana""> A master’s degree in public health, health policy and planning, project management, health administration, public administration, management or related field would be an asset.</font></div>
<div><font size=""2"" face=""Verdana""></font>?</div>
<div><font size=""2"" face=""Verdana"">In the event that your candidature is retained for an interview, you will be required to provide, in advance, a scanned copy of the degree(s)/diploma(s)/certificate(s) required for this position.? WHO, only considers higher educational qualifications obtained from an institution accredited/recognized in the World Higher Education Database (WHED), a list updated by the International Association of Universities (IAU) / United Nations Educational, Scientific and Cultural Organization (UNESCO).? The list can be accessed through the link:? </font><a href=""http://www.whed.net/""><font size=""2"" face=""Verdana""><font color=""#0000ff"">http://www.whed.net/</font></font></a><font size=""2"" face=""Verdana"">.? PAHO will also use the databases of the Council for Higher Education Accreditation </font><a href=""http://www.chea.org/search/default.asp""><font size=""2"" face=""Verdana""><font color=""#0000ff"">http://www.chea.org/search/default.asp</font></font></a><font size=""2"" face=""Verdana""> and College Navigator, found on the website of the National Centre for Educational Statistics, </font><a href=""https://nces.ed.gov/collegenavigator""><font size=""2"" face=""Verdana""><font color=""#0000ff"">https://nces.ed.gov/collegenavigator</font></font></a><font size=""2"" face=""Verdana""> to support the validation process.</font></div>
<div><b><u><font color=""#244061"" size=""2"" face=""Verdana""></font></u></b>?</div>
<div><b><u><font color=""#244061"" size=""2"" face=""Verdana"">Experience</font></u></b><b><font color=""#244061"" size=""2"" face=""Verdana"">:</font></b></div>
<div><b><font size=""2"" face=""Verdana"">Essential:</font></b><font size=""2"" face=""Verdana""> Five years of combined national and international experience in a senior management position with increasing responsibility for design, review, implementation and/or evaluation of health development and cooperation projects and familiarity with international cooperation mechanisms at the national level.</font></div>
<div><b><font size=""2"" face=""Verdana""></font></b>?</div>
<div><b><font size=""2"" face=""Verdana"">Desirable:</font></b><font size=""2"" face=""Verdana""> Experience in multi-country project management and implementation with international experience would be an asset.</font></div>
<div><b><u><font color=""#244061"" size=""2"" face=""Verdana""></font></u></b>?</div>
<div><b><u><font color=""#244061"" size=""2"" face=""Verdana"">SKILLS</font></u></b><b><font color=""#244061"" size=""2"" face=""Verdana"">:</font></b></div>
<div><b><font color=""#244061"" size=""2"" face=""Verdana"">PAHO Competencies:</font></b></div>
<ul>
<li>
<div><font size=""2"" face=""Verdana"">Intrainstitutional Action:? Operates in a fair, consistent and equitable manner, and displays such behavior by example. Ensures that the mission and the values of the Organization as well as the setting in which projects will be carried out are the drivers in one's technical work. Understands the results required and performs to that standard. Behaves consistently in accordance with the Code of Ethics of the Organization.</font></div></li>
<li>
<div><font size=""2"" face=""Verdana"">Analysis, Synthesis, and Forecasting: Objectively analyzes situations and, based on evidence and knowledge, suggests actions to improve implementation.? Bases one's actions on available information, applies knowledge acquired from experience.? Prioritizes the information according to one's needs or the Organization's.? Is capable of anticipating the implications of analyzed situations between one to six months ahead.</font></div></li>
<li>
<div><font size=""2"" face=""Verdana"">Teamwork: Encourages team members, adds significant contribution when participating in internal and external work teams, and leads through personal example the virtues of team success--collaboration, trust, transparency and joint responsibilities.? Builds and maintains mutually beneficial productive interpersonal relations based on trust, inside and outside the Organization. Keeps every team member informed as well as shares relevant and useful information.</font></div></li>
<li>
<div><font size=""2"" face=""Verdana"">Accountability:? Identifies, in conjunction with management, specific activities, processes jobs that require defined accountability, linking them to accountability strategies and objectives. Revises periodically progress made in the established work plan with his/her supervisor. Constantly reaches their objectives.</font></div></li>
<li>
<div><font size=""2"" face=""Verdana"">Thinking, planning and the strategic management of technical cooperation interventions:? Proposes priority ideas for executing interventions after anticipating their critical points, eventual risks and solutions. Evaluates proposals for interventions before making decisions to execute them. Lays the technical foundations for executing technical cooperation interventions following the Organization’s strategy in order to generate the expected results.</font></div></li>
<li>
<div><font size=""2"" face=""Verdana"">Evaluation of technical cooperation interventions:? Proposes criteria for evaluating interventions at the process, management, and outcome level, in addition to plans for evaluating technical cooperation, in keeping with PAHO’s strategic direction.</font></div></li>
<li>
<div><font size=""2"" face=""Verdana"">Communication: Actively engages in conversation with the key players in a multicultural environment both within and outside the organization. Develops, a network of appropriate contacts inside and outside PAHO to gain information or to build alliances. Takes into consideration the multicultural differences within the organization.</font></div></li>
<li>
<div><font size=""2"" face=""Verdana"">Resource Mobilization:? Establishes partnerships and alliances with a variety of institutions and organizations as well as internal partnerships to obtain financial and non-financial resources. Is able to relate with all types of people and at all levels in order to obtain resources that are needed. Is able to present and disseminate information in a clear manner. Executes resources according to the agreements previously established with partnerships.?<font size=""2"" face=""Verdana"">?</font></font></div></li></ul>
<div><b><font color=""#244061"" size=""2"" face=""Verdana"">Technical Expertise:</font></b></div>
<ul>
<li>
<div><font size=""2"" face=""Verdana"">Theoretical and practical knowledge of international technical cooperation, with emphasis on the negotiation and management of international cooperation programs and projects;</font></div></li>
<li>
<div><font size=""2"" face=""Verdana"">Practical knowledge of results-based management concepts and tools and their applications; especially related to outcome formulation and indicator development;</font></div></li>
<li>
<div><font size=""2"" face=""Verdana"">Mature judgment, strong technical, analytical and conceptual skills; demonstrated ability to assess, analyze, synthesize and provide recommendations on key technical issues;</font></div></li>
<li>
<div><font size=""2"" face=""Verdana"">Ability to integrate managerial and technical inputs into recommendations for decision-making processes; ability to manage multiple issues and tasks in a complex organizational environment;</font></div></li>
<li>
<div><font size=""2"" face=""Verdana"">Ability to create and advocate innovative approaches to facilitate and enhance project management capacity, as well as monitoring of these processes;</font></div></li>
<li>
<div><font size=""2"" face=""Verdana"">Excellent organizational and analytical skills combined with strong professional oral and writing skills, including the development of reports, oral presentations, and technical/persuasive documents for consideration at the highest levels of the Organization.</font></div></li>
<li>
<div><font size=""2"" face=""Verdana"">In-depth knowledge and skills in the area of organization, planning, management and provision of health care services at the country level. Knowledge and skills in the formulation of technical cooperation interventions and in the development of criteria for evaluating program interventions.</font></div></li>
<li>
<div><font size=""2"" face=""Verdana"">Ability to prepare clear, concise and complete analysis, proposals,? reports, and other written? materials;? maintain? accurate? records?? and meeting critical deadlines; research and analyze complex problems, evaluating varied information and data, either statistical or narrative form, and exercise sound judgment within establish guidelines.</font></div></li>
<li>
<div><font size=""2"" face=""Verdana"">Ability to manage multiple issues and tasks in a complex organization environment to re-prioritize actions on short notice. Ability to analyze technical and political information and synthesize inputs from multiple sources.</font></div></li></ul>
<div><b><font color=""#244061"" size=""2"" face=""Verdana"">Languages:</font></b></div>
<div><font size=""2"" face=""Verdana"">Very good knowledge of English.? A working knowledge of Spanish or French would be an asset.</font></div>
<div>?</div>
<div><b><font color=""#244061"" size=""2"" face=""Verdana"">IT Skills:</font></b></div>
<div><font size=""2"" face=""Verdana"">Demonstrated ability to effectively use a computer and utilize software programs such as Microsoft Office Word, Excel, PowerPoint, SharePoint and Outlook.? Other IT skills and knowledge of other software programs such as Visio and Project would be an asset.</font></div>
<div><b><font color=""#244061"" size=""2"" face=""Verdana"">?</font></b></div>
<div><b><font color=""#244061"" size=""2"" face=""Verdana"">"
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1703197,Cluster Coordinator,Nigeria-Minna,NO-B,External Consultant,"Oct 12, 2017, 5:59:00 AM",12 Months,Nigeria-Minna,"Sep 27, 2017, 3:10:11 PM",AF_NGA Nigeria,Full-time,
WHO,世界卫生组织,欧洲,瑞士,卫生,http://www.who.int/en/,https://tl-ex.vcdp.who.int/careersection/ex/jobsearch.ftl#,https://tl-ex.vcdp.who.int/careersection/ex/jobdetail.ftl?job=1703206,Emergency Management and Support,Congo-Brazzaville,P5,Fixed-Term Appointment,"Oct 19, 2017, 5:59:00 AM",12 months (Renewal),Congo-Brazzaville,"Sep 27, 2017, 8:11:37 AM",AF/WHE WHO Health Emergencies Programme (WHE),Full-time,"</h2><h3 align=""justify"">Education</h3><div align=""justify""><b>Essential</b>:
 Advanced medical degree with a post-graduate degree in epidemiology or 
public health.Training or degree in disaster risk management.<br><b>Desirable</b>: Training or degree in Management or international development.Training or degree on global health diplomacy<br></div><h3 align=""justify"">Experience</h3><div align=""justify""><b>Essential</b>:
 At least ten years of experience in public health in planning, 
monitoring and implementation of disease prevention and control 
programmes including epidemic and pandemic alert and response, with at 
least five years at the international level in low and middle income 
countries.At least ten years of experience in emergency management 
including five years of field experienceExtensive experience working in 
developing countries.Experience in managing large scale outbreaks or 
emergencies Extensive experience working with partners and internal 
teams;<br><br><b>Desirable</b>: Field experience in epidemiology and 
public health programmes in developing countries.Experience with 
intergovernmental agencies, the UN System or WHO.Experience with 
intergovernmental agencies, the UN System or WHO and knowledge of 
national, regional and global partnerships and networks.<br></div><h3 align=""justify"">Skills</h3><div align=""justify"">Demonstrated
 expertise in scientific and technical issues pertaining to epidemic and
 emergency readiness and response activities; Excellent skills and 
understanding of policies, strategies and regulatory mechanisms 
governing epidemic and pandemic alert and response activities; Proven 
ability to plan, execute, supervise and manage a large international 
health programme; Track record of motivating, guiding and fostering 
national and sub-regional capacity to advocate, communicate and 
disseminate key outbreak and emergency preparedness and response 
messages; Strategic thinker with critical analytical and problem solving
 skills; Excellent communication and presentation skills with ability to
 write in a clear and concise manner; Demonstrated capacity to provide 
technical, authoritative advice and guidance to team members, 
colleagues, peers and multiple stakeholders and partners, taking into 
account internal priorities and capacity and broader political and 
resource-limited contexts; Strong interpersonal skills with ability to 
promote consensus, communicate progress and results and taking remedial 
action combined with ensuring effective work practices and ethics; 
Proven capacity in negotiating and developing partnerships at all levels
 including for resource mobilization; Ability to work under pressure; 
Diplomacy, tact and courtesy.<br></div><h3 align=""justify"">WHO Competencies</h3><div align=""justify"">Building and promoting partnerships across the organization and beyond<br>Driving the Organization's Position in Health Leadership<br>Communication<br>Producing results<br>Teamwork<br></div><h3 align=""justify"">Use of Language Skills</h3><div align=""justify""><b>Essential</b>: Expert knowledge of English.  Intermediate knowledge of French.<br>The above language requirements are interchangeable. <br><b><br>Desirable</b><br></div><h2 align=""justify"">"
